ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q1006626,Q1006626,,,,,1963-01-01,9,,,Q1006662,Q1006662,Q1006634,Q1006634,,,,
,Q1006632,Q1006632,,,,,1966-01-01,9,,,Q1006634,Q1006634,Q876869,Q876869,,,,
,Q1006634,Q1006634,,,,,1964-01-01,9,,,Q1006626,Q1006626,Q1006632,Q1006632,,,,
,Q1006639,Q1006639,,,,,1979-01-01,9,,,Q736564,Q736564,Q1006652,Q1006652,,,,
,Q1006643,First Raab government,,,,,1956-01-01,9,,,Q1006628,Q1006628,Q1006646,Q1006646,,,,
,Q1006646,Q1006646,,,,,1959-01-01,9,,,Q1006643,First Raab government,Q1006653,Q1006653,,,,
,Q1006652,Q1006652,,,,,1983-01-01,9,,,Q1006639,Q1006639,Q877160,Q877160,,,,
,Q1006653,Q1006653,,,,,1960-01-01,9,,,Q1006646,Q1006646,Q1006662,Q1006662,,,,
,Q1006662,Q1006662,,,,,1961-01-01,9,,,Q1006653,Q1006653,Q1006626,Q1006626,,,,
,Q1006665,Q1006665,,,,,1990-01-01,9,,,Q877198,Q877198,Q1006666,Q1006666,,,,
,Q1006666,Q1006666,,,,,1994-01-01,9,,,Q1006665,Q1006665,Q876059,Q876059,,,,
,Q18616923,1st Ramek Cabinet,,,,,,,,,,,,,,,,
,Q19276006,2nd Ramek Cabinet,,,,,,,,,,,,,,,,
,Q2325226,1st Mayr Cabinet,,,,,,,,,,,,,,,,
,Q2325229,Q2325229,,,,,,,,,,,,,,,,
,Q2325239,Q2325239,,,,,,,,,,,,,,,,
,Q473653,Q473653,,,,,1997-01-01,9,,,Q876059,Q876059,Q677878,Klima cabinet,,,,
,Q677878,Klima cabinet,,,,,2000-01-01,9,,,Q473653,Q473653,Q688604,First Schüssel cabinet,,,,
,Q736564,Q736564,,,,,1975-01-01,9,,,Q338847,Q338847,Q1006639,Q1006639,,,,
,Q875691,Q875691,,,,,,,,,,,,,,,,
,Q876059,Q876059,,,,,1996-01-01,9,,,Q1006666,Q1006666,Q473653,Q473653,,,,
,Q876869,Q876869,,,,,1970-01-01,9,,,Q1006632,Q1006632,Q338847,Q338847,,,,
,Q877160,Q877160,,,,,1986-01-01,9,,,Q1006652,Q1006652,Q877198,Q877198,,,,
,Q877198,Q877198,,,,,1987-01-01,9,,,Q877160,Q877160,Q1006665,Q1006665,,,,
,Q2325235,Second Renner government,1919-03-15,11,,,1919-10-17,11,,,,,,,,,,
,Q1006640,Q1006640,1920-11-20,11,,,1921-06-21,11,,,,,,,,,,
,Q1006663,First Schober government,1921-06-21,11,,,1922-01-26,11,,,,,,,,,,
,Q1006654,Second Schober government,1922-01-27,11,,,1922-05-31,11,,,,,,,,,,
,Q1006664,Q1006664,1922-05-31,11,,,1923-04-16,11,,,,,,,,,,
,Q44668732,Vaugoin cabinet,,,1930-09-30,11,,,1930-11-29,11,,,,,,,Q59953966,Ender government
,Q59953966,Ender government,1930-12-04,11,,,1931-06-16,11,,,,,,,Q44668732,Vaugoin cabinet,,
,Q18221716,1st Dollfuss Cabinet,1932-05-20,11,,,1933-09-21,11,,,,,,,,,,
,Q15793055,Q15793055,1933-09-21,11,,,1936-05-14,11,,,,,,,,,,
,Q629145,Q629145,1945-12-20,11,,,1949-11-08,11,,,,,,,,,,
,Q999151,Q999151,1949-11-08,11,,,1952-10-28,11,,,,,,,,,,
,Q1006628,Q1006628,1953-02-25,11,,,1953-04-02,11,,,,,Q1006643,First Raab government,,,,
,Q338847,Q338847,1970-04-21,11,,,1971-11-04,11,,,Q876869,Q876869,Q736564,Q736564,,,,
,Q688604,First Schüssel cabinet,1999-10-03,11,,,2003-02-28,11,,,Q677878,Klima cabinet,Q688608,Second Schüssel cabinet,,,,
,Q688608,Second Schüssel cabinet,2003-02-28,11,,,2007-01-11,11,,,Q688604,First Schüssel cabinet,Q694863,Gusenbauer cabinet,,,,
,Q694863,Gusenbauer cabinet,2007-01-11,11,,,2008-12-02,11,,,Q688608,Second Schüssel cabinet,Q396231,Faymann cabinet,,,,
,Q396231,Faymann cabinet,2008-12-02,11,,,2013-12-16,11,,,Q694863,Gusenbauer cabinet,Q15304746,Second Faymann cabinet,,,Q15304746,Second Faymann cabinet
,Q15304746,Second Faymann cabinet,2013-12-16,11,,,2016-05-17,11,,,Q396231,Faymann cabinet,Q24082635,Kern cabinet,Q396231,Faymann cabinet,Q24082635,Kern cabinet
,Q24082635,Kern cabinet,2016-05-18,11,,,2017-12-18,11,,,Q15304746,Second Faymann cabinet,Q45820208,First Kurz government,Q15304746,Second Faymann cabinet,Q45820208,First Kurz government
,Q45820208,First Kurz government,2017-12-18,11,,,2019-05-28,11,,,Q24082635,Kern cabinet,Q64267382,Löger provisional government,Q24082635,Kern cabinet,,
,Q64267382,Löger provisional government,2019-05-28,11,,,2019-06-03,11,2019-06-03,11,Q45820208,First Kurz government,Q64170336,Bierlein government,,,,
,Q64170336,Bierlein government,2019-06-03,11,,,2020-01-07,11,2020-01-07,11,Q64267382,Löger provisional government,Q80810433,Second Kurz cabinet,,,,
,Q80810433,Second Kurz cabinet,2020-01-07,11,,,2021-10-11,11,,,Q64170336,Bierlein government,Q108861070,Schallenberg government,,,,
,Q108861070,Schallenberg government,2021-10-11,11,,,2021-12-06,11,,,Q80810433,Second Kurz cabinet,Q109907459,Nehammer government,,,,
,Q109907459,Nehammer government,2021-12-06,11,,,,,,,Q108861070,Schallenberg government,,,,,,
